DATE,TIME,実績(万kW)
2005 1 5,15 00,3995
2005 1 5,16 00,4219
2005 1 5,17 00,4440
2005 1 5,18 00,4375
2005 1 5,19 00,4262
2005 1 5,20 00,4120
2005 1 5,21 00,3936
2005 1 5,22 00,3803
2005 1 5,23 00,3544
2005 1 6,0 00,3207
2005 1 6,1 00,2970
2005 1 6,2 00,2795
2005 1 6,3 00,2686
2005 1 6,4 00,2667
2005 1 6,5 00,2827
2005 1 6,6 00,3267
2005 1 6,7 00,3792
2005 1 6,8 00,4380
2005 1 6,9 00,4754
2005 1 6,10 00,4838
2005 1 6,11 00,4815
2005 1 6,12 00,4566
2005 1 6,13 00,4738
2005 1 6,14 00,4788
2005 1 6,15 00,4811
2005 1 6,16 00,4972
2005 1 6,17 00,5010
2005 1 6,18 00,4869
2005 1 6,19 00,4653
2005 1 6,20 00,4437
2005 1 6,21 00,4222
2005 1 6,22 00,4071
2005 1 6,23 00,3752
2005 1 7,0 00,3372
2005 1 7,1 00,3122
2005 1 7,2 00,2942
2005 1 7,3 00,2836
2005 1 7,4 00,2812
2005 1 7,5 00,2974
2005 1 7,6 00,3411
2005 1 7,7 00,3890
2005 1 7,8 00,4382
2005 1 7,9 00,4623
2005 1 7,10 00,4568
2005 1 7,11 00,4430
2005 1 7,12 00,4084
2005 1 7,13 00,4201
2005 1 7,14 00,4162
2005 1 7,15 00,4136
2005 1 7,16 00,4358
2005 1 7,17 00,4581
2005 1 7,18 00,4495
2005 1 7,19 00,4327
2005 1 7,20 00,4142
2005 1 7,21 00,3934
2005 1 7,22 00,3830
2005 1 7,23 00,3618
2005 1 8,0 00,3314
2005 1 8,1 00,3096
2005 1 8,2 00,2917
2005 1 8,3 00,2793
2005 1 8,4 00,2743
2005 1 8,5 00,2829
2005 1 8,6 00,3093
2005 1 8,7 00,3451
2005 1 8,8 00,3882
2005 1 8,9 00,4143
2005 1 8,10 00,4186
2005 1 8,11 00,4130
2005 1 8,12 00,3924
2005 1 8,13 00,3980
2005 1 8,14 00,3943
2005 1 8,15 00,3932
2005 1 8,16 00,4135
2005 1 8,17 00,4360
2005 1 8,18 00,4326
2005 1 8,19 00,4221
2005 1 8,20 00,4088
2005 1 8,21 00,3920
2005 1 8,22 00,3808
2005 1 8,23 00,3594
2005 1 9,0 00,3279
2005 1 9,1 00,3050
2005 1 9,2 00,2870
2005 1 9,3 00,2756
2005 1 9,4 00,2695
2005 1 9,5 00,2732
2005 1 9,6 00,2897
2005 1 9,7 00,3158
2005 1 9,8 00,3418
2005 1 9,9 00,3561
2005 1 9,10 00,3566
2005 1 9,11 00,3482
2005 1 9,12 00,3406
2005 1 9,13 00,3384
2005 1 9,14 00,3385
2005 1 9,15 00,3457
2005 1 9,16 00,3735
2005 1 9,17 00,4094
2005 1 9,18 00,4142
2005 1 9,19 00,4111
2005 1 9,20 00,4028
2005 1 9,21 00,3872
2005 1 9,22 00,3659
2005 1 9,23 00,3432
2005 1 10,0 00,3147
2005 1 10,1 00,2931
2005 1 10,2 00,2776
2005 1 10,3 00,2673
2005 1 10,4 00,2631
2005 1 10,5 00,2725
2005 1 10,6 00,2961
2005 1 10,7 00,3308
2005 1 10,8 00,3731
2005 1 10,9 00,3928
2005 1 10,10 00,3937
2005 1 10,11 00,3843
2005 1 10,12 00,3680
2005 1 10,13 00,3692
2005 1 10,14 00,3675
2005 1 10,15 00,3699
2005 1 10,16 00,3939
2005 1 10,17 00,4291
2005 1 10,18 00,4333
2005 1 10,19 00,4273
2005 1 10,20 00,4175
2005 1 10,21 00,4009
2005 1 10,22 00,3770
2005 1 10,23 00,3491
2005 1 11,0 00,3156
2005 1 11,1 00,2948
2005 1 11,2 00,2810
2005 1 11,3 00,2710
2005 1 11,4 00,2712
2005 1 11,5 00,2912
2005 1 11,6 00,3442
2005 1 11,7 00,3961
2005 1 11,8 00,4384
2005 1 11,9 00,4607
2005 1 11,10 00,4577
2005 1 11,11 00,4486
2005 1 11,12 00,4202
2005 1 11,13 00,4404
2005 1 11,14 00,4409
2005 1 11,15 00,4414
2005 1 11,16 00,4630
2005 1 11,17 00,4874
2005 1 11,18 00,4810
2005 1 11,19 00,4616
2005 1 11,20 00,4429
2005 1 11,21 00,4209
2005 1 11,22 00,4088
2005 1 11,23 00,3808
2005 1 12,0 00,3438
2005 1 12,1 00,3176
2005 1 12,2 00,2997
2005 1 12,3 00,2881
2005 1 12,4 00,2876
2005 1 12,5 00,3074
2005 1 12,6 00,3579
2005 1 12,7 00,4074
2005 1 12,8 00,4472
2005 1 12,9 00,4697
2005 1 12,10 00,4654
2005 1 12,11 00,4606
2005 1 12,12 00,4364
2005 1 12,13 00,4574
2005 1 12,14 00,4576
2005 1 12,15 00,4556
2005 1 12,16 00,4788
2005 1 12,17 00,5047
2005 1 12,18 00,4979
2005 1 12,19 00,4796
2005 1 12,20 00,4594
2005 1 12,21 00,4350
2005 1 12,22 00,4218
2005 1 12,23 00,3910
2005 1 13,0 00,3506
2005 1 13,1 00,3240
2005 1 13,2 00,3049
2005 1 13,3 00,2932
2005 1 13,4 00,2931
2005 1 13,5 00,3124
2005 1 13,6 00,3625
2005 1 13,7 00,4106
2005 1 13,8 00,4506
2005 1 13,9 00,4709
2005 1 13,10 00,4653
2005 1 13,11 00,4540
2005 1 13,12 00,4202
2005 1 13,13 00,4343
2005 1 13,14 00,4319
2005 1 13,15 00,4318
2005 1 13,16 00,4555
2005 1 13,17 00,4849
2005 1 13,18 00,4796
2005 1 13,19 00,4605
2005 1 13,20 00,4410
2005 1 13,21 00,4187
2005 1 13,22 00,4049
2005 1 13,23 00,3764
2005 1 14,0 00,3412
2005 1 14,1 00,3163
2005 1 14,2 00,2989
2005 1 14,3 00,2884
2005 1 14,4 00,2870
2005 1 14,5 00,3068
2005 1 14,6 00,3569
2005 1 14,7 00,4060
2005 1 14,8 00,4438
2005 1 14,9 00,4646
2005 1 14,10 00,4600
2005 1 14,11 00,4479
2005 1 14,12 00,4150
2005 1 14,13 00,4309
2005 1 14,14 00,4336
2005 1 14,15 00,4392
2005 1 14,16 00,4610
2005 1 14,17 00,4787
2005 1 14,18 00,4679
2005 1 14,19 00,4459
2005 1 14,20 00,4251
2005 1 14,21 00,4019
2005 1 14,22 00,3913
2005 1 14,23 00,3679
2005 1 15,0 00,3344
2005 1 15,1 00,3112
2005 1 15,2 00,2939
2005 1 15,3 00,2810
2005 1 15,4 00,2778
2005 1 15,5 00,2860
2005 1 15,6 00,3122
2005 1 15,7 00,3505
2005 1 15,8 00,3994
2005 1 15,9 00,4367
2005 1 15,10 00,4508
2005 1 15,11 00,4525
2005 1 15,12 00,4357
2005 1 15,13 00,4438
2005 1 15,14 00,4438
2005 1 15,15 00,4422
2005 1 15,16 00,4564
2005 1 15,17 00,4603
2005 1 15,18 00,4505
2005 1 15,19 00,4346
2005 1 15,20 00,4191
2005 1 15,21 00,3988
2005 1 15,22 00,3873
2005 1 15,23 00,3669
2005 1 16,0 00,3364
2005 1 16,1 00,3120
2005 1 16,2 00,2924
2005 1 16,3 00,2773
2005 1 16,4 00,2698
2005 1 16,5 00,2722
2005 1 16,6 00,2870
2005 1 16,7 00,3143
2005 1 16,8 00,3507
2005 1 16,9 00,3824
2005 1 16,10 00,3991
2005 1 16,11 00,4001
2005 1 16,12 00,3973
2005 1 16,13 00,3955
2005 1 16,14 00,3937
2005 1 16,15 00,3927
2005 1 16,16 00,4062
2005 1 16,17 00,4252
2005 1 16,18 00,4247
2005 1 16,19 00,4153
2005 1 16,20 00,4063
2005 1 16,21 00,3888
2005 1 16,22 00,3654
2005 1 16,23 00,3401
2005 1 17,0 00,3091
2005 1 17,1 00,2886
2005 1 17,2 00,2733
2005 1 17,3 00,2638
2005 1 17,4 00,2645
2005 1 17,5 00,2839
2005 1 17,6 00,3358
2005 1 17,7 00,3869
2005 1 17,8 00,4307
2005 1 17,9 00,4551
2005 1 17,10 00,4520
2005 1 17,11 00,4435
2005 1 17,12 00,4114
2005 1 17,13 00,4264
2005 1 17,14 00,4254
2005 1 17,15 00,4267
2005 1 17,16 00,4464
2005 1 17,17 00,4740
2005 1 17,18 00,4691
2005 1 17,19 00,4491
2005 1 17,20 00,4304
2005 1 17,21 00,4084
2005 1 17,22 00,3976
2005 1 17,23 00,3695
2005 1 18,0 00,3343
2005 1 18,1 00,3098
2005 1 18,2 00,2937
2005 1 18,3 00,2830
2005 1 18,4 00,2819
2005 1 18,5 00,3020
2005 1 18,6 00,3484
2005 1 18,7 00,3945
2005 1 18,8 00,4320
2005 1 18,9 00,4515
2005 1 18,10 00,4469
2005 1 18,11 00,4372
2005 1 18,12 00,4057
2005 1 18,13 00,4216
2005 1 18,14 00,4200
2005 1 18,15 00,4185
2005 1 18,16 00,4394
2005 1 18,17 00,4676
2005 1 18,18 00,4634
2005 1 18,19 00,4445
2005 1 18,20 00,4260
2005 1 18,21 00,4039
2005 1 18,22 00,3927
2005 1 18,23 00,3658
2005 1 19,0 00,3303
2005 1 19,1 00,3071
2005 1 19,2 00,2903
2005 1 19,3 00,2789
2005 1 19,4 00,2773
2005 1 19,5 00,2940
2005 1 19,6 00,3398
2005 1 19,7 00,3900
2005 1 19,8 00,4343
2005 1 19,9 00,4621
2005 1 19,10 00,4600
2005 1 19,11 00,4496
2005 1 19,12 00,4132
2005 1 19,13 00,4252
2005 1 19,14 00,4229
2005 1 19,15 00,4207
2005 1 19,16 00,4401
2005 1 19,17 00,4656
2005 1 19,18 00,4592
2005 1 19,19 00,4422
2005 1 19,20 00,4252
2005 1 19,21 00,4030
2005 1 19,22 00,3918
2005 1 19,23 00,3652
2005 1 20,0 00,3305
2005 1 20,1 00,3092
2005 1 20,2 00,2937
2005 1 20,3 00,2818
2005 1 20,4 00,2820
2005 1 20,5 00,3006
2005 1 20,6 00,3483
2005 1 20,7 00,3942
2005 1 20,8 00,4305
2005 1 20,9 00,4500
2005 1 20,10 00,4450
2005 1 20,11 00,4350
2005 1 20,12 00,4045
2005 1 20,13 00,4234
2005 1 20,14 00,4248
2005 1 20,15 00,4249
2005 1 20,16 00,4421
2005 1 20,17 00,4716
2005 1 20,18 00,4687
2005 1 20,19 00,4516
2005 1 20,20 00,4334
2005 1 20,21 00,4117
2005 1 20,22 00,3980
2005 1 20,23 00,3716
2005 1 21,0 00,3369
2005 1 21,1 00,3140
2005 1 21,2 00,2966
2005 1 21,3 00,2852
2005 1 21,4 00,2852
2005 1 21,5 00,3033
2005 1 21,6 00,3510
2005 1 21,7 00,3977
2005 1 21,8 00,4355
2005 1 21,9 00,4547
2005 1 21,10 00,4519
2005 1 21,11 00,4437
2005 1 21,12 00,4142
2005 1 21,13 00,4310
2005 1 21,14 00,4308
2005 1 21,15 00,4312
2005 1 21,16 00,4506
2005 1 21,17 00,4779
2005 1 21,18 00,4735
2005 1 21,19 00,4547
2005 1 21,20 00,4347
2005 1 21,21 00,4132
2005 1 21,22 00,4022
2005 1 21,23 00,3794
2005 1 22,0 00,3451
2005 1 22,1 00,3224
2005 1 22,2 00,3030
2005 1 22,3 00,2898
2005 1 22,4 00,2849
2005 1 22,5 00,2933
2005 1 22,6 00,3172
2005 1 22,7 00,3501
2005 1 22,8 00,3839
2005 1 22,9 00,4029
2005 1 22,10 00,4026
2005 1 22,11 00,3943
2005 1 22,12 00,3732
2005 1 22,13 00,3755
2005 1 22,14 00,3713
2005 1 22,15 00,3697
2005 1 22,16 00,3861
2005 1 22,17 00,4206
2005 1 22,18 00,4241
2005 1 22,19 00,4157
2005 1 22,20 00,4046
2005 1 22,21 00,3864
2005 1 22,22 00,3771
2005 1 22,23 00,3558
2005 1 23,0 00,3272
2005 1 23,1 00,3049
2005 1 23,2 00,2864
2005 1 23,3 00,2732
2005 1 23,4 00,2676
2005 1 23,5 00,2729
2005 1 23,6 00,2894
2005 1 23,7 00,3182
2005 1 23,8 00,3530
2005 1 23,9 00,3811
2005 1 23,10 00,3943
2005 1 23,11 00,3954
2005 1 23,12 00,3903
2005 1 23,13 00,3867
2005 1 23,14 00,3834
2005 1 23,15 00,3856
2005 1 23,16 00,4041
2005 1 23,17 00,4325
2005 1 23,18 00,4365
2005 1 23,19 00,4306
2005 1 23,20 00,4206
2005 1 23,21 00,4028
2005 1 23,22 00,3764
2005 1 23,23 00,3474
2005 1 24,0 00,3137
2005 1 24,1 00,2923
2005 1 24,2 00,2764
2005 1 24,3 00,2680
2005 1 24,4 00,2700
2005 1 24,5 00,2924
2005 1 24,6 00,3444
2005 1 24,7 00,3973
2005 1 24,8 00,4444
2005 1 24,9 00,4709
2005 1 24,10 00,4714
2005 1 24,11 00,4645
2005 1 24,12 00,4322
2005 1 24,13 00,4454
2005 1 24,14 00,4431
2005 1 24,15 00,4413
2005 1 24,16 00,4585
2005 1 24,17 00,4827
2005 1 24,18 00,4762
2005 1 24,19 00,4558
2005 1 24,20 00,4378
2005 1 24,21 00,4162
2005 1 24,22 00,4032
2005 1 24,23 00,3738
2005 1 25,0 00,3363
2005 1 25,1 00,3124
2005 1 25,2 00,2967
2005 1 25,3 00,2854
2005 1 25,4 00,2843
2005 1 25,5 00,3014
2005 1 25,6 00,3490
2005 1 25,7 00,3953
2005 1 25,8 00,4362
2005 1 25,9 00,4544
2005 1 25,10 00,4498
2005 1 25,11 00,4403
2005 1 25,12 00,4096
2005 1 25,13 00,4262
2005 1 25,14 00,4276
2005 1 25,15 00,4323
2005 1 25,16 00,4550
2005 1 25,17 00,4766
2005 1 25,18 00,4685
2005 1 25,19 00,4494
2005 1 25,20 00,4289
2005 1 25,21 00,4064
2005 1 25,22 00,3948
2005 1 25,23 00,3663
2005 1 26,0 00,3313
2005 1 26,1 00,3093
2005 1 26,2 00,2943
2005 1 26,3 00,2839
2005 1 26,4 00,2828
2005 1 26,5 00,3007
2005 1 26,6 00,3495
2005 1 26,7 00,4066
2005 1 26,8 00,4565
2005 1 26,9 00,4914
2005 1 26,10 00,4980
2005 1 26,11 00,4930
2005 1 26,12 00,4594
2005 1 26,13 00,4695
2005 1 26,14 00,4610
2005 1 26,15 00,4533
2005 1 26,16 00,4652
2005 1 26,17 00,4896
2005 1 26,18 00,4849
2005 1 26,19 00,4674
2005 1 26,20 00,4492
2005 1 26,21 00,4260
2005 1 26,22 00,4150
2005 1 26,23 00,3848
2005 1 27,0 00,3472
2005 1 27,1 00,3227
2005 1 27,2 00,3046
2005 1 27,3 00,2932
2005 1 27,4 00,2924
2005 1 27,5 00,3097
2005 1 27,6 00,3592
2005 1 27,7 00,4077
2005 1 27,8 00,4488
2005 1 27,9 00,4690
2005 1 27,10 00,4659
2005 1 27,11 00,4598
2005 1 27,12 00,4327
2005 1 27,13 00,4450
2005 1 27,14 00,4401
2005 1 27,15 00,4376
2005 1 27,16 00,4525
2005 1 27,17 00,4804
2005 1 27,18 00,4772
2005 1 27,19 00,4581
2005 1 27,20 00,4390
2005 1 27,21 00,4179
2005 1 27,22 00,4063
2005 1 27,23 00,3775
2005 1 28,0 00,3413
2005 1 28,1 00,3170
2005 1 28,2 00,3002
2005 1 28,3 00,2904
2005 1 28,4 00,2900
2005 1 28,5 00,3084
2005 1 28,6 00,3563
2005 1 28,7 00,4036
2005 1 28,8 00,4413
2005 1 28,9 00,4599
2005 1 28,10 00,4549
2005 1 28,11 00,4461
2005 1 28,12 00,4154
2005 1 28,13 00,4298
2005 1 28,14 00,4259
2005 1 28,15 00,4243
2005 1 28,16 00,4412
2005 1 28,17 00,4673
2005 1 28,18 00,4628
2005 1 28,19 00,4446
2005 1 28,20 00,4254
2005 1 28,21 00,4033
2005 1 28,22 00,3944
2005 1 28,23 00,3729
2005 1 29,0 00,3390
2005 1 29,1 00,3157
2005 1 29,2 00,2962
2005 1 29,3 00,2824
2005 1 29,4 00,2779
2005 1 29,5 00,2856
2005 1 29,6 00,3095
2005 1 29,7 00,3428
2005 1 29,8 00,3814
2005 1 29,9 00,4074
2005 1 29,10 00,4132
2005 1 29,11 00,4070
2005 1 29,12 00,3926
2005 1 29,13 00,4002
2005 1 29,14 00,3920
2005 1 29,15 00,3836
2005 1 29,16 00,3964
2005 1 29,17 00,4146
2005 1 29,18 00,4121
2005 1 29,19 00,3991
2005 1 29,20 00,3857
2005 1 29,21 00,3660
2005 1 29,22 00,3564
2005 1 29,23 00,3369
2005 1 30,0 00,3089
2005 1 30,1 00,2900
2005 1 30,2 00,2739
2005 1 30,3 00,2596
2005 1 30,4 00,2539
2005 1 30,5 00,2583
2005 1 30,6 00,2737
2005 1 30,7 00,2984
2005 1 30,8 00,3247
2005 1 30,9 00,3423
2005 1 30,10 00,3474
2005 1 30,11 00,3424
2005 1 30,12 00,3370
2005 1 30,13 00,3329
2005 1 30,14 00,3310
2005 1 30,15 00,3318
2005 1 30,16 00,3532
2005 1 30,17 00,3948
2005 1 30,18 00,4067
2005 1 30,19 00,4052
2005 1 30,20 00,3992
2005 1 30,21 00,3836
2005 1 30,22 00,3610
2005 1 30,23 00,3348
2005 1 31,0 00,3033
2005 1 31,1 00,2834
2005 1 31,2 00,2705
2005 1 31,3 00,2611
2005 1 31,4 00,2620
2005 1 31,5 00,2817
2005 1 31,6 00,3321
2005 1 31,7 00,3853
2005 1 31,8 00,4282
2005 1 31,9 00,4501
2005 1 31,10 00,4473
2005 1 31,11 00,4395
2005 1 31,12 00,4094
2005 1 31,13 00,4243
2005 1 31,14 00,4239
2005 1 31,15 00,4253
2005 1 31,16 00,4414
2005 1 31,17 00,4670
2005 1 31,18 00,4677
2005 1 31,19 00,4508
2005 1 31,20 00,4330
2005 1 31,21 00,4114
2005 1 31,22 00,4000
2005 1 31,23 00,3716
2005 2 1,0 00,3349
2005 2 1,1 00,3120
2005 2 1,2 00,2958
2005 2 1,3 00,2850
2005 2 1,4 00,2840
2005 2 1,5 00,3023
2005 2 1,6 00,3509
2005 2 1,7 00,3974
2005 2 1,8 00,4369
2005 2 1,9 00,4587
2005 2 1,10 00,4557
2005 2 1,11 00,4500
2005 2 1,12 00,4220
2005 2 1,13 00,4407
2005 2 1,14 00,4439
2005 2 1,15 00,4474
2005 2 1,16 00,4637
2005 2 1,17 00,4886
2005 2 1,18 00,4881
2005 2 1,19 00,4692
2005 2 1,20 00,4515
2005 2 1,21 00,4301
2005 2 1,22 00,4164
2005 2 1,23 00,3854
2005 2 2,0 00,3477
2005 2 2,1 00,3224
2005 2 2,2 00,3047
2005 2 2,3 00,2932
2005 2 2,4 00,2934
2005 2 2,5 00,3122
2005 2 2,6 00,3622
2005 2 2,7 00,4094
2005 2 2,8 00,4480
2005 2 2,9 00,4696
2005 2 2,10 00,4659
2005 2 2,11 00,4588
2005 2 2,12 00,4303
2005 2 2,13 00,4456
2005 2 2,14 00,4445
2005 2 2,15 00,4428
2005 2 2,16 00,4574
2005 2 2,17 00,4823
2005 2 2,18 00,4832
2005 2 2,19 00,4666
2005 2 2,20 00,4482
2005 2 2,21 00,4244
2005 2 2,22 00,4123
2005 2 2,23 00,3840
2005 2 3,0 00,3455
2005 2 3,1 00,3223
2005 2 3,2 00,3046
2005 2 3,3 00,2935
2005 2 3,4 00,2942
2005 2 3,5 00,3130
2005 2 3,6 00,3638
2005 2 3,7 00,4115
2005 2 3,8 00,4491
2005 2 3,9 00,4682
2005 2 3,10 00,4620
2005 2 3,11 00,4521
2005 2 3,12 00,4223
2005 2 3,13 00,4393
2005 2 3,14 00,4382
2005 2 3,15 00,4378
2005 2 3,16 00,4539
2005 2 3,17 00,4822
2005 2 3,18 00,4846
2005 2 3,19 00,4677
2005 2 3,20 00,4491
2005 2 3,21 00,4267
2005 2 3,22 00,4130
2005 2 3,23 00,3832
2005 2 4,0 00,3453
2005 2 4,1 00,3206
2005 2 4,2 00,3031
2005 2 4,3 00,2925
2005 2 4,4 00,2919
2005 2 4,5 00,3104
2005 2 4,6 00,3595
2005 2 4,7 00,4069
2005 2 4,8 00,4444
2005 2 4,9 00,4655
2005 2 4,10 00,4611
2005 2 4,11 00,4504
2005 2 4,12 00,4173
2005 2 4,13 00,4304
2005 2 4,14 00,4276
2005 2 4,15 00,4243
2005 2 4,16 00,4376
2005 2 4,17 00,4642
2005 2 4,18 00,4656
2005 2 4,19 00,4478
2005 2 4,20 00,4290
2005 2 4,21 00,4064
2005 2 4,22 00,3965
2005 2 4,23 00,3743
2005 2 5,0 00,3414
2005 2 5,1 00,3188
2005 2 5,2 00,3005
2005 2 5,3 00,2867
2005 2 5,4 00,2826
2005 2 5,5 00,2903
2005 2 5,6 00,3155
2005 2 5,7 00,3474
2005 2 5,8 00,3797
2005 2 5,9 00,3982
2005 2 5,10 00,3974
2005 2 5,11 00,3900
2005 2 5,12 00,3723
2005 2 5,13 00,3746
2005 2 5,14 00,3703
2005 2 5,15 00,3668
2005 2 5,16 00,3787
2005 2 5,17 00,4085
2005 2 5,18 00,4180
2005 2 5,19 00,4101
2005 2 5,20 00,3988
2005 2 5,21 00,3812
2005 2 5,22 00,3726
2005 2 5,23 00,3549
2005 2 6,0 00,3252
2005 2 6,1 00,3029
2005 2 6,2 00,2854
2005 2 6,3 00,2729
2005 2 6,4 00,2681
2005 2 6,5 00,2724
2005 2 6,6 00,2890
2005 2 6,7 00,3149
2005 2 6,8 00,3402
2005 2 6,9 00,3556
2005 2 6,10 00,3585
2005 2 6,11 00,3510
2005 2 6,12 00,3435
2005 2 6,13 00,3377
2005 2 6,14 00,3343
2005 2 6,15 00,3362
2005 2 6,16 00,3530
2005 2 6,17 00,3963
2005 2 6,18 00,4120
2005 2 6,19 00,4101
2005 2 6,20 00,4020
2005 2 6,21 00,3851
2005 2 6,22 00,3622
2005 2 6,23 00,3360
2005 2 7,0 00,3049
2005 2 7,1 00,2856
2005 2 7,2 00,2720
2005 2 7,3 00,2635
2005 2 7,4 00,2635
2005 2 7,5 00,2849
2005 2 7,6 00,3347
2005 2 7,7 00,3874
2005 2 7,8 00,4367
2005 2 7,9 00,4668
2005 2 7,10 00,4685
2005 2 7,11 00,4615
2005 2 7,12 00,4309
2005 2 7,13 00,4500
2005 2 7,14 00,4532
2005 2 7,15 00,4541
2005 2 7,16 00,4682
2005 2 7,17 00,4841
2005 2 7,18 00,4788
2005 2 7,19 00,4563
2005 2 7,20 00,4350
2005 2 7,21 00,4102
2005 2 7,22 00,3956
2005 2 7,23 00,3660
2005 2 8,0 00,3287
2005 2 8,1 00,3054
2005 2 8,2 00,2898
2005 2 8,3 00,2788
2005 2 8,4 00,2773
2005 2 8,5 00,2952
2005 2 8,6 00,3416
2005 2 8,7 00,3965
2005 2 8,8 00,4495
2005 2 8,9 00,4830
2005 2 8,10 00,4925
2005 2 8,11 00,4939
2005 2 8,12 00,4687
2005 2 8,13 00,4883
2005 2 8,14 00,4894
2005 2 8,15 00,4854
2005 2 8,16 00,4932
2005 2 8,17 00,5050
2005 2 8,18 00,4946
2005 2 8,19 00,4717
2005 2 8,20 00,4500
2005 2 8,21 00,4236
2005 2 8,22 00,4090
2005 2 8,23 00,3789
2005 2 9,0 00,3422
2005 2 9,1 00,3178
2005 2 9,2 00,3007
2005 2 9,3 00,2898
2005 2 9,4 00,2897
2005 2 9,5 00,3085
2005 2 9,6 00,3551
2005 2 9,7 00,4006
2005 2 9,8 00,4401
2005 2 9,9 00,4641
2005 2 9,10 00,4637
2005 2 9,11 00,4564
2005 2 9,12 00,4258
2005 2 9,13 00,4418
2005 2 9,14 00,4425
2005 2 9,15 00,4362
2005 2 9,16 00,4435
2005 2 9,17 00,4616
2005 2 9,18 00,4609
2005 2 9,19 00,4446
2005 2 9,20 00,4256
2005 2 9,21 00,4030
2005 2 9,22 00,3944
2005 2 9,23 00,3655
2005 2 10,0 00,3290
2005 2 10,1 00,3072
2005 2 10,2 00,2903
2005 2 10,3 00,2794
2005 2 10,4 00,2776
2005 2 10,5 00,2944
2005 2 10,6 00,3366
2005 2 10,7 00,3793
2005 2 10,8 00,4155
2005 2 10,9 00,4323
2005 2 10,10 00,4274
2005 2 10,11 00,4197
2005 2 10,12 00,3954
2005 2 10,13 00,4165
2005 2 10,14 00,4218
2005 2 10,15 00,4251
2005 2 10,16 00,4374
2005 2 10,17 00,4566
2005 2 10,18 00,4547
2005 2 10,19 00,4378
2005 2 10,20 00,4193
2005 2 10,21 00,3985
2005 2 10,22 00,3895
2005 2 10,23 00,3673
2005 2 11,0 00,3366
2005 2 11,1 00,3167
2005 2 11,2 00,2987
2005 2 11,3 00,2848
2005 2 11,4 00,2814
2005 2 11,5 00,2900
2005 2 11,6 00,3128
2005 2 11,7 00,3449
2005 2 11,8 00,3869
2005 2 11,9 00,4107
2005 2 11,10 00,4139
2005 2 11,11 00,4058
2005 2 11,12 00,3867
