DATE,TIME,実績(万kW)
2015 1 15,9 00,4156
2015 1 15,10 00,4159
2015 1 15,11 00,4180
2015 1 15,12 00,4013
2015 1 15,13 00,4216
2015 1 15,14 00,4282
2015 1 15,15 00,4319
2015 1 15,16 00,4439
2015 1 15,17 00,4518
2015 1 15,18 00,4467
2015 1 15,19 00,4319
2015 1 15,20 00,4162
2015 1 15,21 00,3947
2015 1 15,22 00,3769
2015 1 15,23 00,3500
2015 1 16,0 00,3193
2015 1 16,1 00,3016
2015 1 16,2 00,2924
2015 1 16,3 00,2872
2015 1 16,4 00,2892
2015 1 16,5 00,3096
2015 1 16,6 00,3567
2015 1 16,7 00,3790
2015 1 16,8 00,3907
2015 1 16,9 00,3925
2015 1 16,10 00,3789
2015 1 16,11 00,3684
2015 1 16,12 00,3462
2015 1 16,13 00,3581
2015 1 16,14 00,3538
2015 1 16,15 00,3571
2015 1 16,16 00,3796
2015 1 16,17 00,4018
2015 1 16,18 00,4000
2015 1 16,19 00,3878
2015 1 16,20 00,3751
2015 1 16,21 00,3619
2015 1 16,22 00,3511
2015 1 16,23 00,3326
2015 1 17,0 00,3066
2015 1 17,1 00,2919
2015 1 17,2 00,2838
2015 1 17,3 00,2786
2015 1 17,4 00,2780
2015 1 17,5 00,2857
2015 1 17,6 00,3073
2015 1 17,7 00,3260
2015 1 17,8 00,3495
2015 1 17,9 00,3548
2015 1 17,10 00,3440
2015 1 17,11 00,3372
2015 1 17,12 00,3317
2015 1 17,13 00,3413
2015 1 17,14 00,3393
2015 1 17,15 00,3407
2015 1 17,16 00,3596
2015 1 17,17 00,3937
2015 1 17,18 00,4013
2015 1 17,19 00,3961
2015 1 17,20 00,3893
2015 1 17,21 00,3771
2015 1 17,22 00,3600
2015 1 17,23 00,3448
2015 1 18,0 00,3205
2015 1 18,1 00,3058
2015 1 18,2 00,2942
2015 1 18,3 00,2843
2015 1 18,4 00,2799
2015 1 18,5 00,2839
2015 1 18,6 00,3032
2015 1 18,7 00,3231
2015 1 18,8 00,3394
2015 1 18,9 00,3404
2015 1 18,10 00,3284
2015 1 18,11 00,3169
2015 1 18,12 00,3092
2015 1 18,13 00,3025
2015 1 18,14 00,2989
2015 1 18,15 00,3025
2015 1 18,16 00,3256
2015 1 18,17 00,3736
2015 1 18,18 00,3872
2015 1 18,19 00,3879
2015 1 18,20 00,3849
2015 1 18,21 00,3715
2015 1 18,22 00,3495
2015 1 18,23 00,3292
2015 1 19,0 00,3035
2015 1 19,1 00,2899
2015 1 19,2 00,2817
2015 1 19,3 00,2766
2015 1 19,4 00,2800
2015 1 19,5 00,3041
2015 1 19,6 00,3574
2015 1 19,7 00,3911
2015 1 19,8 00,4089
2015 1 19,9 00,4101
2015 1 19,10 00,3942
2015 1 19,11 00,3826
2015 1 19,12 00,3532
2015 1 19,13 00,3606
2015 1 19,14 00,3600
2015 1 19,15 00,3613
2015 1 19,16 00,3819
2015 1 19,17 00,4127
2015 1 19,18 00,4159
2015 1 19,19 00,4071
2015 1 19,20 00,3975
2015 1 19,21 00,3842
2015 1 19,22 00,3705
2015 1 19,23 00,3483
2015 1 20,0 00,3213
2015 1 20,1 00,3051
2015 1 20,2 00,2958
2015 1 20,3 00,2913
2015 1 20,4 00,2929
2015 1 20,5 00,3132
2015 1 20,6 00,3608
